Fecha-Hora,Cantidad de Likes,Cantidad de retweets,Veces citado,Tweet,url,Candidato,Espacio
2023-05-23 19:10:24+00:00,960,387,12,"En nuestra última visita a Balcarce nos comprometimos a realizar las obras necesarias para poner en valor el autódromo ""Juan Manuel Fangio"" y hoy estamos dando el primer paso.

Junto a @CostaAugusto9 y @alejosupplyok firmamos un convenio con el municipio para reacondicionarlo. https://t.co/ATrwj71Dra",https://twitter.com/Kicillofok/status/1661132499215347714,Kicillof,FdT
2023-05-23 13:51:41+00:00,211,77,2,La mejora en infraestructura carcelaria es también una política de seguridad. Asumimos con una grave crisis en el SPB y desde entonces estamos llevando adelante una transformación estructural para garantizar el #DerechoALaProtección de los bonaerenses. https://t.co/GBnaHgYhlN,https://twitter.com/Kicillofok/status/1661052291779002371,Kicillof,FdT
2023-05-23 13:51:41+00:00,235,86,3,"De esta manera sumamos 312 plazas de detención transitoria que permiten evitar el alojamiento en comisarías, para que la Policía pueda abocarse a la protección de las y los bonaerenses en la vía pública. https://t.co/OFvnvEpZGZ",https://twitter.com/Kicillofok/status/1661052288692109321,Kicillof,FdT
2023-05-23 13:51:40+00:00,737,283,12,"Avanza la segunda etapa del Plan de Infraestructura Penitenciaria ➡️

Con una inversión que apunta a seguir fortaleciendo la seguridad ciudadana, inauguramos la nueva Alcaidía Departamental de #LomasDeZamora, junto a @minsaurralde, @Julio_Alak y Paula Montero. https://t.co/l6yNIoQO1U",https://twitter.com/Kicillofok/status/1661052286141972500,Kicillof,FdT
2023-05-23 11:48:29+00:00,2338,813,63,"¡Más de 50 mil pibes y pibas ya tienen sus compus de Conectar Igualdad Bonaerense! 💻

Recuperamos una política fundamental para que todos los chicos de la provincia puedan partir del mismo lugar y construir su futuro con esfuerzo, pero sobre todo con las mismas oportunidades.

Estudiar, conectarse y disfrutar es un derecho ❤️ 

#DERECHOalFUTURO",https://twitter.com/Kicillofok/status/1661021285491830785,Kicillof,FdT
2023-05-22 19:04:15+00:00,271,97,1,Nuestros barrios tienen necesidades imperiosas y el Estado no se puede desentender. Es un orgullo haber convertido el proceso de reurbanización en una política de gobierno con el Organismo Provincial de Integración Social y Urbana que estaba inutilizado y lo pusimos a funcionar.,https://twitter.com/Kicillofok/status/1660768561629888513,Kicillof,FdT
2023-05-22 19:04:14+00:00,315,116,3,"A través de @OpisuPba construiremos 146 viviendas y dos polos educativos, obras de agua, cloacas y pavimentación, centros comunitarios y la puesta en valor de espacios públicos.

Un trabajo posible gracias al compromiso de intendentes y empresarios para concretar estas obras. https://t.co/k38Bx5HuMc",https://twitter.com/Kicillofok/status/1660768558157103104,Kicillof,FdT
2023-05-22 19:04:13+00:00,1188,452,17,"¡Más obras, más oportunidades para construir el #DERECHOalFUTURO! 🚧👷

Firmamos convenios para impulsar 11 proyectos de urbanización y desarrollo integral en #Ensenada, #LaMatanza, #Berazategui, #JoséCPaz, #Lanús y #SanVicente. https://t.co/5hFtttezjQ",https://twitter.com/Kicillofok/status/1660768555208437761,Kicillof,FdT
2023-05-28 18:07:16+00:00,355,82,7,"Esta es una mala decisión que tampoco la puede tomar un gobierno que se va como el de A. Fernández. ENARSA será la primera empresa del Estado que cerraré si soy elegido Presidente. Una fuente de corrupcion y de negociados incalculable.
https://t.co/HuIbWESxX0",https://twitter.com/jlespert/status/1662928550893178882,Espert,LLA
2023-05-28 13:00:38+00:00,243,10,22,"En el Día de la Hamburguesa, les comparto cuando me transformé en Hulk probando salsas picantes 😂🌶️🍔 ¡Buen domingo para todos!

🎥 https://t.co/v3O1qlEc5m https://t.co/jAmNE1h4XA",https://twitter.com/jlespert/status/1662851382120988674,Espert,LLA
2023-05-28 12:11:28+00:00,1253,345,98,"La Iglesia insiste con la cultura del odio, el resentimiento contra el que tiene, ensalzando la supuesta virtud de ser pobre y miserable. Triste papel de la Iglesia en vez de evangelizar diciendo lo bueno de estudiar, trabajar y competir como lo muestran las sociedades prósperas. https://t.co/6kjBS4hN4b",https://twitter.com/jlespert/status/1662839011151314945,Espert,LLA
2023-05-28 09:00:00+00:00,47,11,0,Hoy a las 22:30 hs. estaré con @josedel_rio en #ComunidadDeNegocios por @lanacionmas https://t.co/0VosAq4Ea0,https://twitter.com/jlespert/status/1662790824323870720,Espert,LLA
2023-05-28 00:30:39+00:00,169,24,7,"""Sabemos hacerlo"", el spot presidencial de José Luis Espert - 27/05/2023 - https://t.co/NaFG6PsWKl https://t.co/27DEx5IG5O",https://twitter.com/jlespert/status/1662662642119454720,Espert,LLA
2023-05-27 18:32:15+00:00,12,2,0,"Comparto mi participación de hoy en #ContactoDigital con @alejandroalfie y @grmadryn por @Rivadavia630

🎙️Nota Completa ⤵️
https://t.co/Yb4OnTTGzS",https://twitter.com/jlespert/status/1662572449391681537,Espert,LLA
2023-05-27 18:32:14+00:00,218,51,0,"Es increíble que en Argentina tengamos dirigentes sindicales que no quieran cambiar las leyes laborales, cuando las leyes laborales que tenemos son, en parte, responsables de que la mitad de los trabajadores argentinos trabajen en negro sin ningún derecho. https://t.co/My5MRYuXNw",https://twitter.com/jlespert/status/1662572443746066433,Espert,LLA
