Fecha-Hora,Cantidad de Likes,Cantidad de retweets,Veces citado,Tweet,Candidato,Espacio,Usr,url
2023-05-31 17:38:44+00:00,813,289,7,"¡Un gran avance para la ES N°5 de Gral. Belgrano! 💙
 
Hace un año exactamente recorrimos las obras de ampliación de esta escuela que hoy, finalmente, tiene 6 nuevas aulas equipadas con todo el mobiliario escolar correspondiente. https://t.co/7lrZyZRhCk",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1664008531341717504
2023-05-31 17:01:55+00:00,370,123,3,Junto a Osvaldo Dinápoli entregamos 79 notebooks a estudiantes del último año de la ES Nº 1 de General Belgrano. https://t.co/dwoLXvOSi5,Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1663999268112289792
2023-05-31 17:01:54+00:00,471,153,11,"A los pibes y pibas que reciben su computadora no les estamos regalando nada, les estamos devolviendo y garantizando un derecho para que estudien con nuevas tecnologías y sumen una herramienta para un futuro mejor.

#DERECHOalFUTURO https://t.co/zGax25rGy6",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1663999264513466369
2023-05-31 17:01:54+00:00,2694,650,130,"🗣️ ""Estoy feliz de haber recibido la compu porque hasta ahora usaba el celular. Con la compu voy a hacer la tarea y el año que viene si decido estudiar arquitectura me va a servir muchísimo"", nos contó Zamira que ya tiene su notebook de Conectar Igualdad Bonaerense. https://t.co/fGn62YQ5eo",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1663999260960882688
2023-05-31 13:12:02+00:00,176,65,1,"Iniciamos un largo camino de reparación de derechos y todavía queda mucho trabajo por delante. Por eso seguimos construyendo viviendas y dignificando la vida en cada barrio.

#DERECHOalFUTURO https://t.co/Zh11d7YGkD",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1663941413086588929
2023-05-31 13:12:01+00:00,184,61,0,"Junto a @maxisuescun, @agussimone y María Lamarche recorrimos las nuevas casas ubicadas en el barrio UDER, donde además vamos a construir otras 18 viviendas para las familias de trabajadores de la educación del municipio. https://t.co/FCA7X8vid7",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1663941409685090306
2023-05-31 13:12:00+00:00,736,249,5,"22 familias de #Rauch ya tienen casa propia, ¡felicitaciones! 🙌

La alegría de cada bonaerense que cumple este sueño confirma que el futuro es con #DerechoAlHogar 💙 https://t.co/bhtwmComYY",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1663941406749081600
2023-05-30 21:13:21+00:00,513,205,5,"Trabajar junto a intendentes comprometidos con la realidad de sus distritos nos permite avanzar en obras como las que iniciaremos en #Pehuajó, donde vamos a evitar inundaciones y fortalecer actividades náuticas y de esparcimiento.

¡El #DERECHOalFUTURO se construye entre todos!🤝",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1663700153159565319
2023-05-30 16:20:31+00:00,1427,483,14,"¡Gran avance para la construcción del dique regulador Paso Alsina!

Junto a @wadodecorrido participamos de la reunión del Consejo de Gobierno del Comité de Cuenca del Río Colorado, en la que se aprobó el proyecto de obra que solucionará una histórica problemática en la región y evitará el desvío del curso de agua para no perjudicar a otras provincias.

Agradezco el acompañamiento de las y los gobernadores para poder llevar adelante este proyecto que nos permitirá realizar un manejo más eficiente del recurso hídrico en la zona de #Villarino y #Patagones.

En este contexto de sequía a nivel nacional, avanzar en esta dirección es de vital importancia para la producción agropecuaria de la región, que depende del sistema de riego para su desarrollo. Además contribuirá con la promoción de la actividad turística y la integración de la red caminera.

Con estas obras estructurales seguimos transformando la vida de nuestro pueblo y garantizando un #DERECHOalFUTURO que sea mejor para todos y para todas 💙",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1663626459011850241
2023-05-30 12:09:15+00:00,1000,338,31,"Queremos que todos los pibes y las pibas tengan la oportunidad de construir su futuro desde el mismo punto de partida.

Eso se logra con un Estado presente, cumpliendo derechos en #MarDelPlata y en cada municipio de la PBA.

🙌💻 ¡Ya llevamos más de 50 mil compus entregadas!",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1663563226658009091
